s.no,BRAND_NAME,Rating,Orginal Prices,Discounted Prices,Percentage_Offer,Exchange_price,Votes
342,SONY Bravia X7- 500F - 138.8 cm (55 inch) & Ultra HD (4K) LED Smart Android TV,4.6,"₹1,44,900","₹61,999",57% off,"No Cost EMI from ₹3,445/month",174 Ratings & 19 Reviews
343,SAMSUNG - 108 cm (43 inch) & Full HD LED Smart TV,4.4,"₹38,900","₹32,990",15% off,"No Cost EMI from ₹1,833/month","3,482 Ratings & 387 Reviews"
344,Micromax - 81 cm (32 inch) & HD Ready LED Smart Android TV,4.2,"₹27,990","₹10,999",60% off,"Upto ₹9,000 Off on Exchange","6,859 Ratings & 850 Reviews"
347,iFFALCON by TCL - 79.97 cm (32 inch) & HD Ready LED Smart Android TV,4.2,"₹18,999","₹14,999",21% off,"Upto ₹11,000 Off on Exchange","25,008 Ratings & 3,580 Reviews"
348,LG - 108 Cm (43 inch) & Full HD LED TV,4.3,"₹35,990","₹25,999",27% off,"No Cost EMI from ₹2,167/month",171 Ratings & 12 Reviews
350,CloudWalker Cloud TV - 100 cm (39.37 inch) & Full HD LED Smart TV,4.1,"₹31,990","₹18,999",40% off,"Upto ₹11,000 Off on Exchange",725 Ratings & 217 Reviews
351,SAMSUNG The Frame 2020 Series - 163 cm (65 inch) & QLED Ultra HD (4K) Smart TV,4.6,"₹2,22,900","₹1,29,990",41% off,"No Cost EMI from ₹5,417/month","3,960 Ratings & 615 Reviews"
354,LG - 126 cm (50 inch) & Ultra HD (4K) LED Smart TV,4.6,"₹89,990","₹59,999",33% off,"Upto ₹11,000 Off on Exchange",168 Ratings & 25 Reviews
356,Micromax - 55 cm (22 inch) & HD Ready LED TV,4.2,"₹8,549","₹7,999",6% off,"Upto ₹6,000 Off on Exchange",188 Ratings & 18 Reviews
357,SONY Bravia X9- 500G - 138.8 cm (55 inch) & Ultra HD (4K) LED Smart Android TV,4.5,"₹1,99,900","₹1,07,999",45% off,"No Cost EMI from ₹6,000/month",32 Ratings & 7 Reviews
360,SAMSUNG Series 5 - 108 cm (43 inch) & Full HD LED TV,4.4,"₹53,900","₹39,699",26% off,"Upto ₹11,000 Off on Exchange",55 Ratings & 7 Reviews
361,Sanyo 4K UHD - 139 cm (55 inch) & Ultra HD (4K) LED Smart TV,4.5,"₹76,990","₹50,999",33% off,"Upto ₹11,000 Off on Exchange",68 Ratings & 20 Reviews
362,Micromax - 60 cm (24 inch) & HD Ready LED TV,4.3,"₹11,990","₹7,999",33% off,"Upto ₹6,000 Off on Exchange",419 Ratings & 43 Reviews
363,SAMSUNG - 80 cm (32 inch) & HD Ready LED Smart TV,4.3,"₹19,900","₹18,290",8% off,"No Cost EMI from ₹1,017/month","38,266 Ratings & 3,592 Reviews"
367,SAMSUNG - 108 cm (43 inch) & Full HD LED Smart TV,4.4,"₹38,900","₹32,990",15% off,"No Cost EMI from ₹1,833/month","3,482 Ratings & 387 Reviews"
370,TOSHIBA - 108 cm (43 inch) & Full HD LED Smart TV,4.3,"₹26,990","₹22,499",16% off,"Upto ₹11,000 Off on Exchange",101 Ratings & 16 Reviews
371,iFFALCON by TCL - 79.97 cm (32 inch) & HD Ready LED Smart Android TV,4.2,"₹18,999","₹14,999",21% off,"Upto ₹11,000 Off on Exchange","25,008 Ratings & 3,580 Reviews"
373,Panasonic - 109 cm (43 inch) & Full HD LED Smart TV,4.1,"₹56,900","₹50,666",10% off,"Upto ₹11,000 Off on Exchange",359 Ratings & 96 Reviews
374,Micromax Canvas - 81 cm (32 inch) & HD Ready LED Smart TV,4.2,"₹22,990","₹11,999",47% off,"Upto ₹11,000 Off on Exchange","3,788 Ratings & 607 Reviews"
375,SAMSUNG The Frame 2020 Series - 163 cm (65 inch) & QLED Ultra HD (4K) Smart TV,4.6,"₹2,22,900","₹1,29,990",41% off,"No Cost EMI from ₹5,417/month","3,960 Ratings & 615 Reviews"
382,Panasonic FX- 600 Series - 139 cm (55 inch) & Ultra HD (4K) LED Smart TV,4.2,"₹1,09,900","₹69,999",36% off,"Upto ₹11,000 Off on Exchange",13 Ratings & 2 Reviews
386,SAMSUNG Q70RAK - 138 cm (55 inch) & QLED Ultra HD (4K) Smart TV,4.6,"₹1,69,900","₹1,28,999",24% off,"Upto ₹11,000 Off on Exchange",12 Ratings & 0 Reviews
387,SAMSUNG - 80 cm (32 inch) & HD Ready LED Smart TV,4.3,"₹19,900","₹18,290",8% off,"No Cost EMI from ₹1,017/month","38,266 Ratings & 3,592 Reviews"
389,Micromax - 80 cm (32 inch) & HD Ready LED Smart Android TV,4.2,"₹27,990","₹14,999",46% off,"Upto ₹11,000 Off on Exchange",196 Ratings & 20 Reviews
391,SAMSUNG - 108 cm (43 inch) & Full HD LED Smart TV,4.4,"₹38,900","₹32,990",15% off,"No Cost EMI from ₹1,833/month","3,482 Ratings & 387 Reviews"
393,SAMSUNG - 163 cm (65 inch) & Ultra HD (4K) LED Smart TV,4.5,"₹1,49,900","₹89,999",39% off,"Upto ₹11,000 Off on Exchange",27 Ratings & 4 Reviews
397,SAMSUNG - 80 cm (32 inch) & HD Ready LED Smart TV,4.3,"₹20,900","₹19,740",5% off,"No Cost EMI from ₹1,097/month",782 Ratings & 85 Reviews
399,iFFALCON by TCL - 79.97 cm (32 inch) & HD Ready LED Smart Android TV,4.2,"₹18,999","₹14,999",21% off,"Upto ₹11,000 Off on Exchange","25,008 Ratings & 3,580 Reviews"
400,SONY - 163.9 cm (65 inch) & Ultra HD (4K) LED Smart Android TV,4.7,"₹2,44,900","₹1,49,999",38% off,"Upto ₹11,000 Off on Exchange",10 Ratings & 5 Reviews
401,Panasonic FX730 Series - 123 cm (49 inch) & Ultra HD (4K) LED Smart TV,4.2,"₹1,39,900","₹69,999",49% off,"Upto ₹11,000 Off on Exchange",25 Ratings & 7 Reviews
403,SAMSUNG The Frame 2020 Series - 163 cm (65 inch) & QLED Ultra HD (4K) Smart TV,4.6,"₹2,22,900","₹1,29,990",41% off,"No Cost EMI from ₹5,417/month","3,960 Ratings & 615 Reviews"
410,SONY Bravia W662F - 125.7 cm (50 inch) & Full HD LED Smart TV,4.5,"₹79,900","₹52,999",33% off,"No Cost EMI from ₹2,945/month",427 Ratings & 65 Reviews
411,SAMSUNG - 80 cm (32 inch) & HD Ready LED Smart TV,4.3,"₹19,900","₹18,290",8% off,"No Cost EMI from ₹1,017/month","38,266 Ratings & 3,592 Reviews"
414,Sanyo 4K UHD - 123 cm (49 inch) & Ultra HD (4K) LED Smart TV,3.9,"₹64,990","₹39,999",38% off,"Upto ₹11,000 Off on Exchange",77 Ratings & 21 Reviews
415,SAMSUNG - 108 cm (43 inch) & Full HD LED Smart TV,4.4,"₹38,900","₹32,990",15% off,"No Cost EMI from ₹1,833/month","3,482 Ratings & 387 Reviews"
416,SAMSUNG - 80 cm (32 inch) & HD Ready LED Smart TV,4.4,"₹20,900","₹19,740",5% off,"No Cost EMI from ₹1,097/month","19,401 Ratings & 2,489 Reviews"
419,iFFALCON by TCL - 79.97 cm (32 inch) & HD Ready LED Smart Android TV,4.2,"₹18,999","₹14,999",21% off,"Upto ₹11,000 Off on Exchange","25,008 Ratings & 3,580 Reviews"
421,LG - 139 cm (55 inch) & Ultra HD (4K) LED Smart TV,4.4,"₹1,77,990","₹1,24,999",29% off,"Upto ₹11,000 Off on Exchange",59 Ratings & 14 Reviews
423,SAMSUNG The Frame 2020 Series - 163 cm (65 inch) & QLED Ultra HD (4K) Smart TV,4.6,"₹2,22,900","₹1,29,990",41% off,"No Cost EMI from ₹5,417/month","3,960 Ratings & 615 Reviews"
424,Panasonic - 123.4 cm (49 inch) & Full HD LED Smart TV,4.2,"₹72,900","₹42,999",41% off,"Upto ₹11,000 Off on Exchange",320 Ratings & 73 Reviews
